open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2018-12-12 02:00:00+00:00,3368.230000000,3391.180000000,3362.640000000,3365.640000000,2227.652670000,2018-12-12 03:59:59.999000+00:00,7518349.478437330,11080.000000000,1333.183419000,4499123.672749340,0.000000000
2018-12-12 04:00:00+00:00,3365.700000000,3394.240000000,3360.000000000,3380.520000000,1566.214450000,2018-12-12 05:59:59.999000+00:00,5290432.340187130,8301.000000000,977.390082000,3301857.333232380,0.000000000
2018-12-12 06:00:00+00:00,3381.960000000,3425.000000000,3371.000000000,3405.960000000,3379.187769000,2018-12-12 07:59:59.999000+00:00,11499351.771560481,14590.000000000,1884.393216000,6414349.237747510,0.000000000
2018-12-12 08:00:00+00:00,3405.400000000,3422.110000000,3391.030000000,3407.020000000,1938.294134000,2018-12-12 09:59:59.999000+00:00,6598995.357359750,10227.000000000,1128.536820000,3842346.655334260,0.000000000
2018-12-12 10:00:00+00:00,3407.030000000,3479.500000000,3407.030000000,3436.990000000,5053.699609000,2018-12-12 11:59:59.999000+00:00,17409482.402229849,21195.000000000,2712.871362000,9345656.137645490,0.000000000
2018-12-12 12:00:00+00:00,3436.990000000,3445.630000000,3410.000000000,3418.370000000,3486.364107000,2018-12-12 13:59:59.999000+00:00,11942979.314861139,13763.000000000,1850.814912000,6339494.597970660,0.000000000
2018-12-12 14:00:00+00:00,3418.350000000,3480.000000000,3401.000000000,3460.300000000,4832.656244000,2018-12-12 15:59:59.999000+00:00,16630354.543510269,19159.000000000,2490.293399000,8572327.504643749,0.000000000
2018-12-12 16:00:00+00:00,3460.300000000,3492.000000000,3428.810000000,3453.550000000,3777.155632000,2018-12-12 17:59:59.999000+00:00,13078048.471188180,15735.000000000,1973.216999000,6833760.523046940,0.000000000
2018-12-12 18:00:00+00:00,3452.400000000,3468.640000000,3441.430000000,3445.810000000,2026.606844000,2018-12-12 19:59:59.999000+00:00,6999770.487254380,10182.000000000,1012.536823000,3498062.793931210,0.000000000
2018-12-12 20:00:00+00:00,3446.340000000,3472.730000000,3442.020000000,3457.440000000,1774.267232000,2018-12-12 21:59:59.999000+00:00,6135680.723539550,8749.000000000,944.217166000,3265222.664122870,0.000000000
2018-12-12 22:00:00+00:00,3455.590000000,3458.540000000,3423.090000000,3445.000000000,1646.059517000,2018-12-12 23:59:59.999000+00:00,5662999.062745640,9481.000000000,807.622551000,2778959.044286030,0.000000000
2018-12-13 00:00:00+00:00,3446.380000000,3460.000000000,3390.050000000,3390.050000000,2717.117303000,2018-12-13 01:59:59.999000+00:00,9283581.038260059,11082.000000000,1213.640924000,4149360.840228200,0.000000000
2018-12-13 02:00:00+00:00,3390.870000000,3411.350000000,3384.390000000,3405.780000000,2037.377867000,2018-12-13 03:59:59.999000+00:00,6926973.367265040,8158.000000000,1024.609187000,3483664.021093350,0.000000000
2018-12-13 04:00:00+00:00,3405.660000000,3407.500000000,3362.930000000,3386.630000000,3217.068367000,2018-12-13 05:59:59.999000+00:00,10888706.722215431,12092.000000000,1474.450045000,4990947.981490300,0.000000000
